time	V(n003)	V(n005)
4.302677623550108e-007	1.965546e+001	3.128502e+001
4.380802623550107e-007	1.965542e+001	3.128203e+001
4.458927623550107e-007	1.965538e+001	3.127902e+001
4.537052623550107e-007	1.965534e+001	3.127602e+001
4.615177623550107e-007	1.965530e+001	3.127303e+001
4.693302623550107e-007	1.965526e+001	3.127007e+001
4.771427623550106e-007	1.965522e+001	3.126715e+001
4.849552623550106e-007	1.965518e+001	3.126428e+001
4.927677623550106e-007	1.965514e+001	3.126145e+001
5.005802623550106e-007	1.965511e+001	3.125867e+001
5.083927623550105e-007	1.965507e+001	3.125595e+001
5.162052623550105e-007	1.965503e+001	3.125328e+001
5.240177623550105e-007	1.965500e+001	3.125066e+001
5.318302623550105e-007	1.965496e+001	3.124810e+001
5.396427623550105e-007	1.965493e+001	3.124558e+001
5.474552623550104e-007	1.965489e+001	3.124313e+001
5.552677623550104e-007	1.965486e+001	3.124072e+001
5.630802623550104e-007	1.965483e+001	3.123837e+001
5.708927623550104e-007	1.965480e+001	3.123606e+001
5.787052623550104e-007	1.965477e+001	3.123381e+001
5.865177623550103e-007	1.965473e+001	3.123161e+001
5.943302623550103e-007	1.965471e+001	3.122945e+001
6.021427623550103e-007	1.965467e+001	3.122735e+001
6.099552623550103e-007	1.965465e+001	3.122529e+001
6.177677623550102e-007	1.965462e+001	3.122327e+001
6.255802623550102e-007	1.965459e+001	3.122131e+001
6.333927623550102e-007	1.965457e+001	3.121938e+001
6.412052623550102e-007	1.965454e+001	3.121750e+001
6.490177623550102e-007	1.965451e+001	3.121566e+001
6.568302623550101e-007	1.965449e+001	3.121387e+001
6.646427623550101e-007	1.965446e+001	3.121211e+001
6.724552623550101e-007	1.965444e+001	3.121039e+001
6.802677623550101e-007	1.965442e+001	3.120871e+001
6.880802623550100e-007	1.965439e+001	3.120707e+001
6.958927623550100e-007	1.965437e+001	3.120547e+001
7.037052623550100e-007	1.965435e+001	3.120390e+001
7.115177623550100e-007	1.965433e+001	3.120237e+001
7.193302623550100e-007	1.965431e+001	3.120087e+001
7.271427623550099e-007	1.965429e+001	3.119941e+001
7.349552623550099e-007	1.965427e+001	3.119797e+001
7.427677623550099e-007	1.965425e+001	3.119658e+001
7.505802623550099e-007	1.965423e+001	3.119521e+001
7.662052623550098e-007	1.965419e+001	3.119256e+001
7.740177623550098e-007	1.965417e+001	3.119128e+001
7.818302623550098e-007	1.965416e+001	3.119003e+001
